rxn	LB	UB
EXC_IN_C00301[s]	0	1
EXC_IN_C00095[s]	0	0
EXC_IN_C00124[s]	0	0
EXC_IN_C00031[s]	0	0
EXC_OUT_C00031[s]	0	1000
EXC_IN_C00135[s]	0	0.096774194
EXC_IN_C00407[s]	0	0.212977099
EXC_IN_C00408[s]	0	0
EXC_BOTH_C00243[s]	-1000	0
EXC_IN_C00123[s]	0	0.384732824
EXC_IN_C01595[s]	0	0.114460048
EXC_IN_C06427[s]	0	0.010774701
EXC_IN_C00047[s]	0	0.291780822
EXC_IN_C00073[s]	0	0.161073826
EXC_IN_C00007[s]	0	0
EXC_IN_C00079[s]	0	0.169090909
EXC_IN_C00022[s]	0	0
EXC_IN_C00188[s]	0	0.18907563
EXC_IN_C00078[s]	0	0.030882353
EXC_IN_C00183[s]	0	0.284615385
EXC_BOTH_C06306[s]	-1000	0
EXC_BOTH_C03740[s]	-1000	0
EXC_BOTH_C01089[s]	-1000	0
EXC_BOTH_C02918[s]	-1000	0
EXC_BOTH_C04317[s]	-1000	0
EXC_BOTH_Cx126[s]	-1000	0
EXC_BOTH_Cx127[s]	-1000	0
EXC_BOTH_Cx128[s]	-1000	0
EXC_BOTH_C00234[s]	-1000	0
EXC_BOTH_C05504[s]	-1000	0
EXC_BOTH_C04598[s]	-1000	0
EXC_BOTH_C05984[s]	-1000	0
EXC_BOTH_C05394[s]	-1000	0
EXC_BOTH_C00334[s]	-1000	0
EXC_BOTH_C03360[s]	-1000	0
EXC_BOTH_C03479[s]	-1000	0
EXC_BOTH_C00643[s]	-1000	0
EXC_BOTH_Cx627[s]	-1000	0
EXC_BOTH_C00440[s]	-1000	0
EXC_BOTH_Cx604[s]	-1000	0
EXC_BOTH_C01019[s]	-1000	0
EXC_BOTH_C00033[s]	-1000	0
EXC_BOTH_C00207[s]	-1000	0
EXC_BOTH_C01996[s]	-1000	0
EXC_BOTH_C00212[s]	-1000	0
EXC_BOTH_C00498[s]	-1000	0
EXC_BOTH_C06192[s]	-1000	0
EXC_BOTH_C03246[s]	-1000	0
EXC_BOTH_C00008[s]	-1000	0
EXC_BOTH_C00788[s]	-1000	0
EXC_BOTH_C06800[s]	-1000	0
EXC_BOTH_C00179[s]	-1000	0
EXC_BOTH_C00026[s]	-1000	0
EXC_BOTH_C00041[s]	-1000	0.182022472
EXC_BOTH_C00020[s]	-1000	0
EXC_BOTH_C11135[s]	-1000	0
EXC_BOTH_C13244[s]	-1000	0
EXC_BOTH_C00992[s]	-1000	0
EXC_BOTH_C00062[s]	-1000	0.117241379
EXC_BOTH_C00072[s]	-1000	0
EXC_BOTH_C00152[s]	-1000	0
EXC_BOTH_C00049[s]	-1000	0.281954887
EXC_BOTH_C07535[s]	-1000	0
EXC_BOTH_C02094[s]	-1000	0
EXC_BOTH_C00719[s]	-1000	0
EXC_BOTH_C05787[s]	-1000	0
EXC_BOTH_C03374[s]	-1000	0
EXC_BOTH_C00486[s]	-1000	0
EXC_BOTH_C00120[s]	-1000	0.5
EXC_BOTH_C00575[s]	-1000	0
EXC_BOTH_C01353[s]	-1000	0
EXC_BOTH_C00942[s]	-1000	0
EXC_BOTH_Cx765[s]	-1000	0
EXC_BOTH_C00695[s]	-1000	0
EXC_BOTH_C00187[s]	-1000	0.011622795
EXC_BOTH_C00114[s]	-1000	0
EXC_BOTH_Cx829[s]	-1000	0
EXC_BOTH_Cx837[s]	-1000	0
EXC_BOTH_Cx845[s]	-1000	0
EXC_BOTH_Cx855[s]	-1000	0
EXC_BOTH_Cx866[s]	-1000	0
EXC_BOTH_C00158[s]	-1000	0
EXC_BOTH_C00327[s]	-1000	0
EXC_BOTH_C00055[s]	-1000	0
EXC_OUT_C00011[s]	0	0
EXC_BOTH_C05851[s]	-1000	0
