rxn	LB	UB
EXC_BOTH_C00301[s]	-1.0	0
EXC_BOTH_C00031[s]	-1000.0	0
EXC_BOTH_C00135[s]	-0.096774194	0
EXC_BOTH_C00407[s]	-0.212977099	0
EXC_BOTH_C00123[s]	-0.384732824	0
EXC_BOTH_C01595[s]	-0.114460048	0
EXC_BOTH_C06427[s]	-0.010774701	0
EXC_BOTH_C00047[s]	-0.291780822	0
EXC_BOTH_C00073[s]	-0.161073826	0
EXC_BOTH_C00079[s]	-0.169090909	0
EXC_BOTH_C00188[s]	-0.18907563	0
EXC_BOTH_C00078[s]	-0.030882353	0
EXC_BOTH_C00183[s]	-0.284615385	0
EXC_BOTH_C00041[s]	-0.182022472	0
EXC_BOTH_C00062[s]	-0.117241379	0
EXC_BOTH_C00049[s]	-0.281954887	0
EXC_BOTH_C00120[s]	-0.5	0
EXC_BOTH_C00187[s]	-0.011622795	0
EXC_BOTH_C00491[s]	-0.017355372	0
EXC_BOTH_C00016[s]	-0.5	0
EXC_BOTH_C14818[s]	-0.5	0
EXC_BOTH_C14819[s]	-0.5	0
EXC_BOTH_C00025[s]	-0.812244898	0
EXC_BOTH_C00037[s]	-0.152	0
EXC_BOTH_C00001[s]	-0.5	0
EXC_BOTH_C00318[s]	-0.5	0
EXC_BOTH_C00003[s]	-0.5	0
EXC_BOTH_C00006[s]	-0.5	0
EXC_BOTH_C00148[s]	-0.597391304	0
EXC_BOTH_C00255[s]	-0.5	0
EXC_BOTH_C00065[s]	-0.305714286	0
EXC_BOTH_Cx1323[s]	-0.2969015	0
EXC_BOTH_C00089[s]	-2.984044534	0
EXC_BOTH_C00101[s]	-0.5	0
EXC_BOTH_C00214[s]	-1.0	0
EXC_BOTH_C00082[s]	-0.164088398	0
EXC_BOTH_C02679[s]	-0.45265573	0
EXC_BOTH_C06424[s]	-0.397051463	0
EXC_BOTH_C00249[s]	-0.353605272	0
EXC_BOTH_C01530[s]	-0.318739454	0
EXC_BOTH_Cx672[s]	-0.181124956	0
EXC_BOTH_Cx9[s]	-0.148401018	0
EXC_BOTH_Cx11[s]	-0.163132368	0
EXC_BOTH_Cx1261[s]	-0.023647891	0
SINK_BOTH_Cx1003[c]	-0.5	0
EXC_BOTH_m49[l]	-1.0	0
