M_met	M_KEGG	T_met	T_KEGG	match
C03465	3-methyl-2-oxopentanoate	C03465	2-oxo-3-methylvalerate	match
C00334	4-Aminobutanoate	C00334	4-aminobutyrate	match
C00440	5-Methyltetrahydrofolate	C00440	5-methyl-THF	match
C02528	chenodeoxycholate	C02528	chenodiol	match
C00033	acetate	C00033	acetate	match
C00147	Adenine	C00147	Adenine	match
C00212	Adenosine	C00212	adenosine	match
C00026	2-Oxoglutarate	C00026	AKG	match
C00041	L-alanine	C00041	alanine	match
C00020	AMP	C00020	AMP	match
C00259	L-arabinose	C00259	L-arabinose	match
C00062	L-argininium(1+)	C00062	arginine	match
C00152	L-asparagine	C00152	asparagine	match
C00049	L-aspartate(1-)	C00049	aspartate	match
C00120	Biotin	C00120	biotin	match
C00246	butyrate	C00246	Butyrate	match
C01419	L-cysteinylglycine	C01419	cys-gly	match
C00114	Choline	C00114	choline	match
C00695	Cholate	C00695	cholate	match
C00158	Citrate	C00158	citrate	match
C00698	Chloride	C00698	Chloride	match
C00011	carbon dioxide	C00011	CO2	match
C00380	cytosine	C00380	cytosine	match
C00097	L-cysteine	C00097	cysteine	match
C00475	Cytidine	C00475	cytidine	match
C00559	2-deoxyadenosine	C00559	deoxyadenosine	match
C00881	Deoxycytidine	C00881	deoxycytidine	match
C02679	laurate	C02679	lauric acid	match
C05466	glycochenodeoxycholate	C05466	glycochenodeoxycholate	match
C00330	Deoxyguanosine	C00330	deoxyguanosine	match
C05512	Deoxyinosine	C05512	deoxyinosine	match
C00526	Deoxyuridine	C00526	deoxyuridine	match
C00189	etha[c]	C00189	ethanolamine	match
C14818	Fe2+	C14818	Fe2+	match
C14819	Fe3+	C14819	Fe3+	match
C00504	Folate	C00504	folate	match
C00058	Formate	C00058	formate	match
C00329	D-Glucosamine	C00329	glucosamine	match
C01921	glycocholate	C01921	Glycocholate	match
C00031	D-glucose	C00031	glucose	match
C00064	L-glutamine	C00064	glutamine	match
C00025	L-glutamate(1-)	C00025	glutamate	match
C00037	Glycine	C00037	glycine	match
C00116	Glycerol	C00116	glycerol	match
C00387	Guanosine	C00387	guanosine	match
C00051	Reduced glutathione	C00051	GSH	match
C00242	Guanine	C00242	guanine	match
C00001	Water	C00001	H2O	match
C00249	Hexadecanoate (n-C16:0)	C00249	palmitate	match
C00135	L-histidine	C00135	histidine	match
C00262	Hypoxanthine	C00262	Hypoxanthine	match
C00407	L-isoleucine	C00407	isoleucine	match
C00294	Inosine	C00294	inosine	match
C00238	potassium	C00238	K+	match
C00256	(R)-lactate	C00256	D-lactate	match
C00186	(S)-lactate	C00186	L-lactate	match
C00243	Lactose	C00243	lactose	match
C00123	L-leucine	C00123	leucine	match
C00047	L-lysinium(1+)	C00047	lysine	match
C00208	Maltose	C00208	maltose	match
C01936	Maltohexaose	C01936	maltohexaose	match
C01835	maltotriose	C01835	maltotriose	match
C00159	D-Mannose	C00159	mannose	match
C00073	L-methionine	C00073	methionine	match
C01330	Sodium	C01330	Na+	match
C00153	Nicotinamide	C00153	nicotinamide	match
C00014	Ammonium	C00014	NH3	match
C00007	O2	C00007	O2	match
C01530	octadecanoate (n-C18:0)	C01530	stearate	match
C00712	octadecenoate (n-C18:1)	C00712	oleate	match
C00077	Ornithine	C00077	ornithine	match
C00079	L-phenylalanine	C00079	phenylalanine	match
C00032	Protoheme	C00032	heme	match
C00009	hydrogenphosphate	C00009	Pi	match
C00864	(R)-Pantothenate	C00864	pantothenate	match
C00163	propionate	C00163	propanoate	match
C00013	Diphosphate	C00013	PPi	match
C00148	L-proline	C00148	proline	match
C00134	Putrescine	C00134	putrescine	match
C00534	Pyridoxamine	C00534	pyridoxamine	match
C00314	Pyridoxine	C00314	pyridoxine	match
C00022	pyruvate	C00022	pyruvate	match
C00255	Riboflavin	C00255	riboflavin	match
C00794	D-glucitol	C00794	D-glucitol	match
C00065	L-serine	C00065	serine	match
C00094	Sulfite	C00094	sulfite	match
C00059	sulfate	C00059	sulfate	match
C00042	Succinate	C00042	succinate	match
C00089	Sucrose	C00089	sucrose	match
C00245	Taurine	C00245	taurine	match
C05465	taurochenodeoxycholate	C05465	taurochenodeoxycholate	match
C00101	5,6,7,8-Tetrahydrofolate	C00101	THF	match
C00378	Thiamin	C00378	thiamin	match
C00188	L-threonine	C00188	threonine	match
C00214	Thymidine	C00214	thymidine	match
C00078	L-tryptophan	C00078	tryptophan	match
C06424	tetradecanoate (n-C14:0)	C06424	myristic acid	match
C00082	L-tyrosine	C00082	tyrosine	match
C00106	uracil	C00106	uracil	match
C00086	Urea	C00086	urea	match
C00299	Uridine	C00299	uridine	match
C00183	L-valine	C00183	valine	match
C00469	ethanol	C00469	ethanol	match
C01019	L-fucose	C01019	6-deoxy-L-galactose	match
C00127	Oxidized glutathione	C00127	GSSG	match
C00209	oxalate(2-)	C00209	oxalate	match
C01089	(R)-3-hydroxybutyrate	C01089	(R)-3-hydroxybutanoate	match
C00719	glycine betaine	C00719	betaine	match
C03990	lithocholate	C03990	lithocholate	match
C00491	L-cystine	C00491	cystine	match
C00483	tyraminium	C00483	Tyramine	match
0059	sulfate	C00059	sulfate	match
C00315	Spermidine	microbiome
C00042	Succinate	C00042	succinate	match
C00089	Sucrose	C00089	sucrose	match
C00245	Taurine	C00245	taurine	match
C05465	taurochenodeoxycholate	C05465	taurochenodeoxycholate	match
C00101	5,6,7,8-Tetrahydrofolate	C00101	THF	match
C00378	Thiamin	C00378	thiamin	match
C00188	L-threonine	C00188	threonine	match
C00214	Thymidine	C00214	thymidine	match
C01083	Trehalose	microbiome
C00078	L-tryptophan	C00078	tryptophan	match
C05529	thiosulfate(2-)	microbiome
C06424	tetradecanoate (n-C14:0)	C06424	myristic acid	match
C00082	L-tyrosine	C00082	tyrosine	match
C00106	uracil	C00106	uracil	match
C00086	Urea	C00086	urea	match
C00299	Uridine	C00299	uridine	match
C00183	L-valine	C00183	valine	match
C00385	Xanthine	microbiome
C02917	(S)-propane-1,2-diol	microbiome
G06866	released mucin-type O-glycan No 110	microbiome
G06868	released mucin-type O-glycan No 112	microbiome
G01462	released mucin-type O-glycan No 113	microbiome
G00592	released mucin-type O-glycan No 117	microbiome
G03456	released mucin-type O-glycan No 12	microbiome
