taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter	0.00534	0.02033	0	0.01723	0.02671	0.00845	0.00834	0	0.01477	0.00772	0	0.01203	0.02936	0.00421	0	0.0339	0.01401	0	0	0.02033	0.0056	0.01032	0.00881	0.01413	0.01053	0.02686	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.98058	3.77246	4.40455	1.41634	0.89356	2.85615	2.15798	2.51961	0.33589	3.3119	4.52214	1.18148	10.82113	1.72907	2.99693	0.57856	2.65014	3.45218	4.24972	3.77246	4.97875	1.42159	3.63016	1.97674	0.91087	0.4456	2.90405	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	12.80027	15.57242	21.77033	7.86533	5.94519	7.16623	7.46457	15.4118	5.85735	5.29313	5.69985	3.01125	14.36661	11.51081	4.36299	7.20768	4.01565	3.36974	9.71922	15.57242	6.27508	27.57965	3.12216	2.99983	21.2561	4.22609	13.39932	
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.9421	31.69973	0.97388	0.93427	2.88037	0.7093	6.70127	0.56114	3.15882	0.56442	0.40049	13.44549	33.47884	2.13129	0.38266	22.79166	0.33114	0.10507	0.93666	31.69973	0.41462	3.08789	0.37061	0.61394	2.07234	15.6301	0.93374	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	10.3643	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.51759	1.91111	0.62878	1.79065	2.52477	1.32734	1.02589	0.52308	1.30343	1.34067	0.34939	1.17466	1.70329	0.47955	0.60394	3.27291	1.80587	0.30872	0.56738	1.91111	1.24864	1.08349	1.37554	1.57027	1.81035	3.07763	0.52225	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter|s__Acutalibacter_muris	0.18937	1.01795	0.79788	0.21858	0.05197	0.02087	0.41379	0.03929	0.06866	0.0177	0.44017	0.22263	3.65455	0.18906	0.17716	0.2372	0.09156	0.1526	0.10682	1.01795	0.49901	0.07134	0.09772	0.08634	0.01172	0.12813	0.00086	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	2.36678	0	1.90337	0.36939	0	0	0	1.98291	0.51152	0	3.03839	0	0	2.01089	3.31779	0	0	2.08001	0.00317	0	2.26719	0	0	0.00337	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0	0	0.00561	0	0	0.01334	0	0	0	0.01935	0	0	0	0.07668	0.00328	0	2.4389	0.00277	0.0466	0	0	0.25094	1.69713	0	0.17831	0	0.01031	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.80729	30.16754	34.38669	7.86762	15.98418	10.37115	11.84458	38.74051	5.85958	7.10253	5.71412	5.09394	29.11551	17.55968	9.85977	11.38397	4.69226	8.73154	13.03562	30.16754	15.68753	40.86257	3.51378	6.43843	29.30769	8.78613	18.49261	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.00421	0	0	0.02201	0.01993	0.01192	0.01008	0	0.01463	0.01399	0	0.01214	0.02141	0.00306	0	0.03986	0.0152	0	0.00238	0	0.00346	0.00999	0.01027	0.0216	0.00905	0.03889	0	
