"ENSMUSG"	"DEN_Fasted_1_FPKM"	"DEN_Fasted_2_FPKM"	"DEN_Fasted_3_FPKM"	"DEN_Fed_1_FPKM"	"DEN_Fed_2_FPKM"	"DEN_Fed_3_FPKM"	"nonDEN_Fasted_1_FPKM"	"nonDEN_Fasted_2_FPKM"	"nonDEN_Fasted_3_FPKM"	"nonDEN_Fasted_4_FPKM"	"nonDEN_Fed_1_FPKM"	"nonDEN_Fed_2_FPKM"	"nonDEN_Fed_3_FPKM"
"1"	"ENSMUSG00000000001"	38.06	33.45	40.35	39.23	35.35	40.54	33.78	33.72	36.72	35.61	34.22	38.53	39.34
"3"	"ENSMUSG00000000028"	1.17	0.92	0.82	1.06	0.92	1.01	0.96	1.21	1.04	1.26	1.19	1.35	1.42
"4"	"ENSMUSG00000000031"	0.24	0.25	0.12	0.08	0.16	0.11	0.11	0.27	0.12	0.19	0.19	0.17	0.15
"5"	"ENSMUSG00000000037"	0.05	0.13	0.03	0.08	0.2	0.17	0.06	0.07	0.09	0.12	0.13	0.13	0.06
"6"	"ENSMUSG00000000049"	16.48	20.6	16.36	21.89	15.04	11.57	19.7	13.6	16.83	11.52	12.57	17.56	16.8
"7"	"ENSMUSG00000000056"	9.46	9.16	7.84	8.24	9.64	10.05	10.71	9.32	10.88	9.27	9.84	10.66	11.5
"8"	"ENSMUSG00000000058"	15.36	13.01	15.05	12.31	13.02	16.77	13.82	12	13.95	12.08	13.63	14.3	12.38
"9"	"ENSMUSG00000000078"	10.48	10.98	10.57	13.03	11.1	10.27	13.51	16.6	14.25	11.54	11.84	12.58	13.29
"10"	"ENSMUSG00000000085"	8.48	13.28	8.85	11.48	8.93	10.33	11.55	10.13	10.82	9.51	10.06	10.37	12.43
"11"	"ENSMUSG00000000088"	395.06	404.77	375.42	388.42	428.47	368.2	377.72	372.57	375.58	349.92	384.38	418.78	416.59
"12"	"ENSMUSG00000000093"	11.13	13.45	11.62	13.28	12.34	11.33	13.62	14.13	14.73	13.36	14.22	14.73	14.03
"13"	"ENSMUSG00000000094"	0	0	0.01	0.01	0	0.01	0	0.02	0.03	0	0	0.02	0.04
"15"	"ENSMUSG00000000120"	0.41	0.56	0.3	0.51	0.58	0.63	0.88	0.75	0.3	0.59	0.54	0.67	0.55
"16"	"ENSMUSG00000000125"	0	0.01	0	0	0	0	0.01	0	0.01	0	0.01	0	0
"17"	"ENSMUSG00000000126"	0.35	0.35	0.38	0.41	0.43	0.35	0.47	0.38	0.38	0.39	0.41	0.45	0.51
"18"	"ENSMUSG00000000127"	3.63	3.52	3.36	3.81	4.04	3.05	4.14	4.16	4.53	3.95	4.59	3.96	4.29
"19"	"ENSMUSG00000000131"	13.67	15.42	13.39	15.9	15.33	12.87	18.48	18.29	20.31	16.33	17.57	17.17	17.34
"20"	"ENSMUSG00000000134"	6.6	8.62	7.08	7.81	8.17	7.64	9.75	8.01	10.62	9.42	9.77	9.92	9.1
"21"	"ENSMUSG00000000142"	0.73	0.72	1.02	0.9	1.03	1.12	1.23	1.04	1.6	0.95	1.43	1.19	0.94
"22"	"ENSMUSG00000000148"	3.17	3.99	3.65	3.62	3.86	3.42	4.12	3.79	4.23	3.99	4.28	3.82	3.74
"23"	"ENSMUSG00000000149"	31.96	42.87	38.73	41.66	41.09	41.02	42.04	40.7	41.83	38.33	42.86	41.19	43.69
"24"	"ENSMUSG00000000154"	149.22	198.65	187.09	131.02	183.86	171.33	199.61	175.54	174.21	172.43	165.21	178.79	170.32
"25"	"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	0.06	0.01	0
"26"	"ENSMUSG00000000159"	37.85	39.55	31.67	37.18	38.66	31.98	37.45	36.5	37.39	42.07	36.36	42.01	42.53
"27"	"ENSMUSG00000000167"	2.57	3.09	1.83	2.81	2.39	2.65	2.65	2.42	2.56	2.84	2.91	2.96	3.03
"28"	"ENSMUSG00000000168"	54.11	55.89	47.2	57	52.74	50.47	50.44	50.36	51.09	49.01	54.94	61.6	63.75
