Gene	DEN_Fasted_1	DEN_Fasted_2	DEN_Fasted_3	DEN_Fed_1	DEN_Fed_2	DEN_Fed_3	nonDEN_Fasted_1	nonDEN_Fasted_2	nonDEN_Fasted_3	nonDEN_Fasted_4	nonDEN_Fed_1	nonDEN_Fed_2	nonDEN_Fed_3
ENSMUSG00000000001	47.57	44.29	49.95	52.73	47.36	52.21	45.46	47.14	52.01	48.26	48.39	50.52	56.21
ENSMUSG00000000028	1.47	1.22	1.01	1.42	1.23	1.3	1.29	1.69	1.47	1.7	1.69	1.76	2.02
ENSMUSG00000000031	0.3	0.34	0.15	0.11	0.22	0.14	0.14	0.37	0.16	0.25	0.27	0.22	0.22
ENSMUSG00000000037	0.06	0.17	0.03	0.11	0.26	0.22	0.08	0.1	0.13	0.16	0.19	0.18	0.09
ENSMUSG00000000049	20.6	27.29	20.25	29.43	20.15	14.89	26.52	19.01	23.83	15.61	17.77	23.02	24.0
ENSMUSG00000000056	11.83	12.14	9.71	11.07	12.92	12.95	14.41	13.03	15.41	12.56	13.92	13.98	16.43
ENSMUSG00000000058	19.19	17.23	18.63	16.55	17.45	21.6	18.59	16.77	19.76	16.38	19.28	18.75	17.69
ENSMUSG00000000078	13.1	14.54	13.08	17.51	14.87	13.23	18.18	23.2	20.18	15.64	16.75	16.49	18.99
ENSMUSG00000000085	10.6	17.59	10.95	15.43	11.97	13.3	15.54	14.16	15.32	12.9	14.22	13.6	17.77
ENSMUSG00000000088	493.82	536.04	464.76	522.07	574.12	474.19	508.29	520.84	531.94	474.26	543.52	549.05	595.26
ENSMUSG00000000093	13.92	17.81	14.38	17.85	16.53	14.59	18.33	19.75	20.87	18.11	20.1	19.31	20.05
ENSMUSG00000000094	0.0	0.0	0.01	0.01	0.0	0.02	0.0	0.03	0.04	0.0	0.0	0.03	0.06
ENSMUSG00000000120	0.51	0.74	0.37	0.69	0.78	0.81	1.18	1.05	0.42	0.79	0.77	0.88	0.79
ENSMUSG00000000125	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.01	0.0	0.0
ENSMUSG00000000126	0.43	0.46	0.47	0.55	0.57	0.45	0.64	0.53	0.54	0.53	0.58	0.59	0.72
ENSMUSG00000000127	4.54	4.67	4.16	5.12	5.41	3.93	5.57	5.81	6.42	5.35	6.49	5.19	6.13
ENSMUSG00000000131	17.08	20.42	16.57	21.37	20.54	16.57	24.87	25.56	28.76	22.14	24.84	22.51	24.78
ENSMUSG00000000134	8.25	11.42	8.76	10.49	10.94	9.84	13.12	11.2	15.05	12.77	13.81	13.01	13.0
ENSMUSG00000000142	0.92	0.96	1.27	1.21	1.38	1.45	1.65	1.45	2.26	1.29	2.02	1.56	1.34
ENSMUSG00000000148	3.96	5.28	4.52	4.86	5.17	4.4	5.55	5.3	5.99	5.41	6.05	5.01	5.35
ENSMUSG00000000149	39.95	56.78	47.94	55.99	55.06	52.83	56.58	56.89	59.24	51.95	60.61	54.01	62.43
ENSMUSG00000000154	186.53	263.07	231.62	176.1	246.35	220.65	268.62	245.4	246.73	233.71	233.62	234.41	243.37
