Gene	DEN_AdjLiver_fasted	DEN_AdjLiver_fed	nonDEN_Liver_fasted	nonDEN_Liver_fed	DEN_Tumour_fasted	DEN_Tumour_fed	nonDEN_Tumour_fasted
ENSMUSG00000000001	57.65	67.29	46.53	61.85	62.43	68.51	44.91
ENSMUSG00000000028	1.32	3.96	1.4	1.89	1.53	1.88	2.39
ENSMUSG00000000031	116.18	56.29	8.18	59.62	283.96	246.62	226.74
ENSMUSG00000000037	0.12	0.09	0.18	0.24	0.05	0.12	0.02
ENSMUSG00000000049	2260.58	1961.18	2318.24	2257.57	2422.7	2527.31	1628.27
ENSMUSG00000000056	16.67	21.29	13.92	12.61	13.64	17.47	10.22
ENSMUSG00000000058	6.57	8.02	7.24	9.21	11.58	12.1	13.39
ENSMUSG00000000078	16.93	14.91	21.73	29.73	21.14	18.31	23.1
ENSMUSG00000000085	6.79	7.48	8.81	7.95	9.4	8.39	5.12
ENSMUSG00000000088	335.26	398.07	337.1	412.59	286.8	340.87	385.71
ENSMUSG00000000093	1.18	1.05	2.32	2.07	1.26	1.32	1.02
ENSMUSG00000000094	0.03	1.95	0.04	0.07	0.04	0.03	0.01
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.01	0.0
ENSMUSG00000000120	2.29	3.04	3.65	5.78	1.97	2.94	1.06
ENSMUSG00000000126	0.44	0.37	0.46	0.38	0.5	0.61	0.06
ENSMUSG00000000127	5.61	5.7	5.42	5.68	5.89	5.14	5.67
ENSMUSG00000000131	20.81	40.65	21.54	21.97	21.66	19.83	22.75
ENSMUSG00000000134	12.85	20.32	16.72	21.62	16.73	15.75	14.88
ENSMUSG00000000142	5.27	87.1	6.12	4.91	3.6	5.1	2.0
ENSMUSG00000000148	4.6	4.05	5.16	5.23	4.4	4.48	5.98
ENSMUSG00000000149	69.9	63.34	69.28	46.83	69.38	47.84	76.41
ENSMUSG00000000154	70.48	56.54	72.31	65.95	57.39	57.96	86.53
ENSMUSG00000000157	0.01	0.05	0.0	0.12	0.02	0.02	0.0
ENSMUSG00000000159	33.32	51.27	30.37	29.39	51.44	42.09	47.64
ENSMUSG00000000167	1.13	1.09	1.25	0.89	1.03	1.43	0.61
ENSMUSG00000000168	24.24	58.01	31.37	63.05	22.51	38.54	25.73
ENSMUSG00000000171	212.77	235.59	207.36	232.84	185.59	205.03	247.16
ENSMUSG00000000182	0.24	0.34	0.09	0.25	0.37	0.33	0.08
ENSMUSG00000000183	0.02	0.0	0.01	0.01	0.0	0.0	0.0
ENSMUSG00000000184	23.6	11.94	7.02	8.98	6.34	10.23	6.38
ENSMUSG00000000194	8.91	11.75	8.7	10.42	10.9	9.78	10.81
ENSMUSG00000000197	0.03	0.03	0.13	0.12	0.02	0.03	0.05
ENSMUSG00000000202	0.08	0.03	0.1	0.05	0.02	0.14	0.0
ENSMUSG00000000204	2.42	0.7	0.87	0.82	3.02	0.58	0.25
ENSMUSG00000000214	0.0	0.0	0.0	0.43	0.0	0.0	0.0
ENSMUSG00000000215	0.0	0.0	0.0	0.19	0.0	1.6	0.0
ENSMUSG00000000216	0.19	0.25	0.23	0.71	0.12	0.17	0.01
ENSMUSG00000000223	0.05	0.03	0.11	0.03	0.1	0.05	0.01
ENSMUSG00000000244	1.22	1.78	1.47	1.64	1.33	0.92	0.82
ENSMUSG00000000247	1.85	1.59	2.11	1.98	1.59	1.11	0.52
ENSMUSG00000000248	0.07	0.1	0.06	0.05	0.08	0.07	0.0
ENSMUSG00000000253	1.58	1.26	1.29	2.19	2.32	2.16	1.21
ENSMUSG00000000263	0.0	0.0	0.0	0.02	0.04	0.0	0.0
ENSMUSG00000000266	2.93	3.29	2.86	3.34	4.25	3.69	2.38
ENSMUSG00000000275	30.79	36.31	33.68	34.13	32.35	33.69	39.44
ENSMUSG00000000276	0.9	1.04	0.81	1.0	1.31	1.09	0.58
ENSMUSG00000000278	27.95	28.3	30.19	43.62	29.34	32.78	29.35
ENSMUSG00000000282	5.21	5.3	4.63	4.43	5.39	4.27	4.33
ENSMUSG00000000290	16.2	21.97	23.18	26.46	15.58	16.38	14.71
ENSMUSG00000000295	2.39	2.76	4.43	2.97	3.51	2.55	2.41
ENSMUSG00000000296	9.47	10.02	10.49	9.68	10.96	12.69	2.9
ENSMUSG00000000301	232.28	240.66	297.73	277.61	154.9	240.35	235.84
ENSMUSG00000000303	23.94	89.06	39.84	48.24	71.61	57.45	47.25
ENSMUSG00000000305	0.52	0.4	0.63	0.47	0.36	0.41	0.29
ENSMUSG00000000308	1.44	0.96	0.93	0.94	1.26	1.78	0.05
ENSMUSG00000000317	1.81	2.51	2.65	2.68	2.97	2.54	2.3
ENSMUSG00000000318	1.56	1.9	1.43	1.52	2.03	1.2	2.45
ENSMUSG00000000320	0.66	0.58	0.43	0.56	0.69	0.63	0.36
ENSMUSG00000000325	5.46	4.42	7.72	8.01	4.47	4.7	4.73
ENSMUSG00000000326	716.01	938.96	648.1	670.61	547.17	789.34	784.04
ENSMUSG00000000339	9.25	14.61	11.16	10.2	10.66	10.15	11.73
ENSMUSG00000000340	51.32	41.7	46.88	46.85	45.24	42.78	45.09
ENSMUSG00000000346	103.61	111.91	136.9	121.67	97.23	115.29	141.29
ENSMUSG00000000355	38.35	48.75	35.11	48.71	38.99	47.6	17.58
ENSMUSG00000000359	1.26	0.75	1.11	1.09	1.46	0.74	0.6
ENSMUSG00000000365	0.06	0.06	0.09	0.08	0.14	0.07	0.04
ENSMUSG00000000374	9.33	12.55	11.23	12.86	9.97	9.6	11.18
ENSMUSG00000000378	16.26	17.79	18.13	18.43	20.42	18.49	13.76
ENSMUSG00000000381	0.0	0.0	0.0	0.0	0.0	0.11	0.0
ENSMUSG00000000384	16.28	17.0	19.98	20.2	15.76	16.15	18.28
ENSMUSG00000000385	2.32	11.68	5.03	4.6	3.58	2.63	22.0
ENSMUSG00000000386	2.14	2.18	2.54	2.03	2.03	2.31	7.69
ENSMUSG00000000392	0.23	0.22	0.11	0.24	0.46	0.21	0.13
ENSMUSG00000000394	0.0	0.08	0.07	0.46	0.04	0.07	0.0
ENSMUSG00000000399	111.27	120.01	133.3	132.15	94.64	129.17	128.78
ENSMUSG00000000402	0.1	0.19	0.22	0.43	0.1	0.08	0.13
ENSMUSG00000000409	1.57	8.03	2.16	2.43	2.9	2.66	1.71
ENSMUSG00000000416	0.21	0.37	1.53	1.07	0.39	0.28	0.53
ENSMUSG00000000420	35.25	32.08	31.59	34.66	32.13	29.34	37.36
ENSMUSG00000000439	6.18	5.67	7.57	6.27	5.87	4.99	5.39
ENSMUSG00000000440	35.81	34.28	32.95	30.88	23.73	24.87	16.23
ENSMUSG00000000441	40.39	47.69	48.0	56.52	38.16	44.66	48.54
ENSMUSG00000000486	2.72	5.9	3.97	4.13	3.63	2.43	3.27
ENSMUSG00000000489	1.29	4.16	3.48	3.7	3.81	2.34	2.47
ENSMUSG00000000530	3.43	4.66	4.61	4.33	4.4	3.13	2.98
ENSMUSG00000000531	1.12	1.03	1.1	1.02	1.29	0.92	0.54
ENSMUSG00000000532	5.55	4.88	5.79	5.1	7.97	6.31	5.7
ENSMUSG00000000538	11.18	13.55	14.35	17.85	12.01	13.54	11.44
ENSMUSG00000000544	0.02	0.0	0.01	0.02	0.13	0.13	0.11
ENSMUSG00000000552	11.02	10.21	17.59	14.75	15.06	11.84	57.18
ENSMUSG00000000555	6.87	6.96	10.06	11.52	9.43	8.37	17.59
ENSMUSG00000000560	0.0	0.0	0.09	0.0	0.0	0.0	0.0
ENSMUSG00000000561	11.67	13.82	13.69	13.7	13.81	13.08	10.75
ENSMUSG00000000562	0.18	0.28	0.25	0.42	0.1	0.2	0.14
ENSMUSG00000000563	324.12	363.98	318.68	398.19	298.08	319.6	325.33
ENSMUSG00000000567	1.99	2.71	7.14	5.84	5.45	3.96	9.92
ENSMUSG00000000568	56.27	49.08	54.78	48.51	51.78	44.69	51.35
ENSMUSG00000000579	1.97	1.51	2.18	2.43	2.41	2.74	1.1
ENSMUSG00000000581	66.35	70.05	64.58	65.79	65.05	62.75	50.66
ENSMUSG00000000594	37.53	44.38	46.29	49.08	72.45	71.07	66.35
ENSMUSG00000000600	9.32	9.85	8.37	10.68	9.99	10.33	9.14
ENSMUSG00000000605	25.19	25.63	25.03	25.44	23.88	23.77	17.64
ENSMUSG00000000617	0.0	0.03	0.01	0.02	0.0	0.01	0.0
ENSMUSG00000000627	0.12	0.06	0.11	0.24	0.22	0.05	0.02
ENSMUSG00000000628	3.13	7.26	4.24	3.78	2.26	3.1	2.08
ENSMUSG00000000631	42.46	27.75	29.38	29.63	46.73	33.02	29.75
ENSMUSG00000000632	0.0	0.02	0.55	0.0	0.02	0.06	0.01
ENSMUSG00000000673	326.88	445.22	302.18	459.21	228.73	419.75	190.25
ENSMUSG00000000682	67.84	115.55	108.74	115.16	77.76	70.01	69.87
ENSMUSG00000000686	22.45	24.14	26.24	18.09	20.25	16.32	17.19
ENSMUSG00000000690	0.25	0.15	0.13	0.34	0.17	0.21	0.06
ENSMUSG00000000693	1.34	2.29	2.02	1.85	1.57	1.08	1.11
ENSMUSG00000000706	0.01	0.01	0.01	0.0	0.03	0.01	0.0
ENSMUSG00000000708	42.58	39.08	39.61	37.16	46.03	39.74	30.84
ENSMUSG00000000711	52.88	65.55	59.47	68.39	53.57	62.06	46.92
ENSMUSG00000000730	0.04	0.28	0.0	0.15	0.0	0.22	0.0
ENSMUSG00000000731	0.02	0.04	0.05	0.0	0.02	0.0	0.0
ENSMUSG00000000732	1.16	2.08	2.62	2.59	1.96	1.21	1.93
ENSMUSG00000000738	30.19	28.8	30.33	37.83	26.26	26.48	26.57
ENSMUSG00000000739	10.78	5.09	11.92	3.77	3.43	6.32	0.15
ENSMUSG00000000740	400.34	721.97	529.75	447.08	552.44	497.54	404.92
ENSMUSG00000000743	41.4	40.04	50.31	42.58	45.77	46.62	38.05
ENSMUSG00000000751	21.12	30.36	19.52	26.46	18.38	21.09	16.97
ENSMUSG00000000753	476.8	431.69	473.63	536.34	412.93	459.1	408.98
ENSMUSG00000000759	7.67	8.71	8.97	7.34	7.68	7.9	6.35
ENSMUSG00000000776	6.18	7.17	6.85	6.37	8.84	6.66	5.08
ENSMUSG00000000782	2.3	25.28	3.66	4.43	5.28	3.83	1.79
ENSMUSG00000000787	77.78	98.91	80.46	103.3	83.14	85.56	67.84
ENSMUSG00000000791	0.3	0.6	0.31	0.2	0.41	0.29	0.24
ENSMUSG00000000792	0.11	0.04	0.04	0.07	0.01	0.01	0.01
ENSMUSG00000000794	0.08	0.08	0.11	0.25	0.06	0.07	0.06
ENSMUSG00000000804	12.57	14.02	12.8	11.74	14.03	12.19	11.47
ENSMUSG00000000805	0.39	101.41	0.31	0.39	0.61	0.51	0.17
ENSMUSG00000000811	2.97	3.66	3.29	3.79	3.29	3.37	2.8
