"ENSMUSG"	"WATden_Fasted_1_FPKM"	"WATden_Fasted_2_FPKM"	"WATDen_Fasted_3_FPKM"	"WATden_Fed_1_FPKM"	"WATden_Fed_2_FPKM"	"WATden_Fed_3_FPKM"	"WATnonDen_Fasted_1_FPKM"	"WATnonDen_Fasted_2_FPKM"	"WATnonDen_Fasted_3_FPKM"	"WATnonDen_Fasted_4_FPKM"	"WATnonDen_Fed_1_FPKM"	"WATnonDen_Fed_2_FPKM"	"WATnonDen_Fed_3_FPKM"
"1"	"ENSMUSG00000000001"	31.28	31.06	29.84	36.06	33.88	33.93	32.75	35.62	29.69	31.71	39.64	30.29	36.2
"3"	"ENSMUSG00000000028"	3.73	4.18	3.52	3.29	3.45	3.1	3.72	4.3	3.04	4.25	4.1	3	3.93
"4"	"ENSMUSG00000000031"	0.31	0.7	0.31	0.44	0.67	0.48	0.4	0.48	0.36	0.7	0.84	0.28	0.39
"5"	"ENSMUSG00000000037"	0.2	0.26	0.15	0.59	0.22	0.17	0.3	0.27	0.09	0.31	0.29	0.43	0.37
"6"	"ENSMUSG00000000049"	2.58	1.8	1.44	0.71	8.01	6.54	16.51	1.42	11.16	0.82	1.25	27.87	5.25
"7"	"ENSMUSG00000000056"	5.7	5.29	4.49	5.06	4.88	5.91	4.85	5.78	4.91	4.73	5.46	5.1	5.97
"8"	"ENSMUSG00000000058"	184.08	141.93	135.4	126.57	154.75	203.33	143.24	141.67	149.65	147.71	168.6	187.49	193.37
"9"	"ENSMUSG00000000078"	44.95	52.22	60.83	61.22	47.17	47.67	61.95	70.38	44.24	59.06	62.83	50.05	51.88
"10"	"ENSMUSG00000000085"	10.59	10.54	12.28	11.02	10.59	10.18	10.98	8.91	11.4	12.45	11.98	10.18	8.76
"11"	"ENSMUSG00000000088"	160.41	163.65	141.14	126.25	147.35	153.05	136.57	157.94	151.26	117.99	151.34	140.69	144.58
"12"	"ENSMUSG00000000093"	1.22	1.26	1.24	1.09	1.13	0.79	1.18	0.91	0.7	1.69	0.93	0.98	1.05
"13"	"ENSMUSG00000000094"	0.14	0.14	0.32	0.43	0.39	0.18	0.27	0.16	0.33	0.21	0.25	0.29	0.17
"15"	"ENSMUSG00000000120"	0.15	0.26	0.07	0.15	0.3	0.22	0.18	0.19	0.14	0.18	0.27	0.26	0.21
"16"	"ENSMUSG00000000125"	0.01	0	0	0	0	0	0	0	0	0	0	0	0
"17"	"ENSMUSG00000000126"	1.57	1.47	2.13	2.4	1.98	1.66	2.34	1.61	3.61	1.79	1.45	1.92	1.59
"18"	"ENSMUSG00000000127"	8.39	8.74	8.67	9.08	9	10.07	8.81	8.85	7.11	8.45	10.35	9.36	10.23
