Gene	DEN_Fasted_1	DEN_Fasted_2	DEN_Fasted_3	DEN_Fed_1	DEN_Fed_2	DEN_Fed_3	nonDEN_Fasted_1	nonDEN_Fasted_2	nonDEN_Fasted_3	nonDEN_Fasted_4	nonDEN_Fed_1	nonDEN_Fed_2	nonDEN_Fed_3
ENSMUSG00000000001	51.11	50.88	49.35	60.63	55.6	58.29	55.0	57.51	45.73	55.01	68.39	50.52	60.91
ENSMUSG00000000028	6.09	6.85	5.83	5.54	5.66	5.33	6.24	6.94	4.68	7.37	7.07	5.01	6.62
ENSMUSG00000000031	0.51	1.15	0.51	0.75	1.1	0.83	0.67	0.77	0.55	1.21	1.44	0.47	0.65
ENSMUSG00000000037	0.33	0.42	0.24	0.99	0.36	0.29	0.51	0.44	0.14	0.53	0.49	0.72	0.63
ENSMUSG00000000049	4.22	2.95	2.39	1.19	13.15	11.23	27.73	2.29	17.19	1.43	2.15	46.48	8.83
ENSMUSG00000000056	9.31	8.66	7.42	8.51	8.01	10.15	8.15	9.34	7.57	8.21	9.41	8.5	10.05
ENSMUSG00000000058	300.77	232.54	223.91	212.82	253.98	349.27	240.59	228.76	230.48	256.24	290.88	312.69	325.4
ENSMUSG00000000078	73.45	85.56	100.59	102.93	77.41	81.89	104.05	113.65	68.13	102.45	108.4	83.47	87.3
ENSMUSG00000000085	17.31	17.27	20.31	18.54	17.37	17.49	18.44	14.39	17.56	21.6	20.66	16.98	14.75
ENSMUSG00000000088	262.09	268.12	233.4	212.27	241.83	262.9	229.38	255.04	232.95	204.68	261.1	234.65	243.3
ENSMUSG00000000093	2.0	2.06	2.05	1.83	1.86	1.36	1.99	1.47	1.07	2.93	1.6	1.64	1.76
ENSMUSG00000000094	0.22	0.23	0.52	0.72	0.64	0.3	0.45	0.26	0.5	0.36	0.42	0.49	0.28
ENSMUSG00000000120	0.24	0.42	0.11	0.26	0.5	0.38	0.3	0.3	0.21	0.31	0.46	0.44	0.35
ENSMUSG00000000125	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000126	2.57	2.42	3.52	4.03	3.25	2.86	3.93	2.6	5.55	3.11	2.5	3.2	2.67
ENSMUSG00000000127	13.71	14.32	14.34	15.26	14.77	17.29	14.79	14.29	10.94	14.67	17.85	15.6	17.22
ENSMUSG00000000131	31.4	36.71	32.49	47.5	38.35	37.78	40.04	44.19	28.98	40.56	42.88	35.47	37.8
ENSMUSG00000000134	31.03	39.84	39.95	53.66	38.94	46.22	43.54	46.48	24.43	48.25	50.66	36.94	39.39
ENSMUSG00000000142	11.17	9.45	13.91	13.23	15.45	16.17	12.97	8.53	13.27	11.24	8.84	13.0	6.76
ENSMUSG00000000148	10.85	12.41	11.59	11.06	12.21	12.1	12.5	9.94	10.37	13.79	10.78	12.66	12.46
ENSMUSG00000000149	54.84	65.91	57.77	73.37	61.73	61.89	68.91	76.06	39.31	81.86	74.12	57.51	65.09
ENSMUSG00000000154	4.94	5.09	5.82	7.0	5.88	5.46	6.3	3.79	12.56	5.21	5.27	7.79	4.46
ENSMUSG00000000159	0.81	0.1	0.06	0.09	0.55	0.18	0.13	0.1	0.98	0.11	0.14	0.63	0.19
ENSMUSG00000000167	2.19	2.53	2.59	1.73	2.13	2.32	1.36	1.43	1.82	2.05	2.01	1.68	3.07
ENSMUSG00000000168	90.3	84.65	76.9	54.36	69.71	86.16	77.71	70.49	67.91	72.06	80.67	78.32	89.52
ENSMUSG00000000171	159.09	149.1	140.55	129.84	149.58	148.28	139.22	140.86	168.08	135.31	136.01	157.83	151.64
ENSMUSG00000000182	0.02	0.0	0.0	0.03	0.02	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.0
ENSMUSG00000000183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
ENSMUSG00000000184	163.98	165.28	141.84	140.8	165.49	190.03	149.04	139.8	114.94	137.0	182.06	160.35	171.2
ENSMUSG00000000194	26.03	23.58	24.88	29.83	25.03	25.31	24.32	30.89	15.92	28.01	29.82	28.08	28.29
ENSMUSG00000000197	0.47	0.55	0.77	0.74	0.64	0.44	0.76	0.61	0.87	0.68	0.62	0.83	0.55
ENSMUSG00000000202	1.46	2.7	1.06	2.52	1.24	1.28	2.91	2.02	0.83	2.01	3.12	1.15	1.81
ENSMUSG00000000204	0.51	0.95	1.18	2.19	1.29	1.05	0.73	0.7	1.5	1.12	0.95	1.06	0.97
ENSMUSG00000000214	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0
ENSMUSG00000000216	0.11	0.01	0.08	0.03	0.0	0.0	0.04	0.01	0.03	0.09	0.0	0.01	0.03
ENSMUSG00000000223	0.13	0.24	0.28	0.24	0.12	0.24	0.54	0.36	0.14	0.39	0.53	0.2	0.4
ENSMUSG00000000244	5.02	8.05	6.22	8.72	8.02	5.29	5.78	12.51	5.28	4.87	6.39	7.51	4.92
ENSMUSG00000000247	0.0	0.05	0.0	0.03	0.04	0.09	0.02	0.08	0.05	0.06	0.18	0.04	0.0
ENSMUSG00000000248	0.18	0.28	0.07	0.47	0.41	0.21	0.21	1.04	0.32	0.36	0.27	0.19	0.38
ENSMUSG00000000253	13.18	15.08	12.33	11.7	11.09	12.16	13.08	10.46	9.31	14.76	12.37	12.51	13.35
ENSMUSG00000000263	0.0	0.0	0.0	0.08	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000266	14.05	14.24	13.19	12.25	12.44	17.64	15.56	11.44	11.2	14.22	15.75	14.64	14.82
ENSMUSG00000000275	26.83	34.17	30.72	51.3	31.51	28.13	34.83	42.25	23.96	44.27	35.17	25.34	33.22
ENSMUSG00000000276	7.92	6.54	7.55	7.49	6.23	6.42	7.04	5.28	6.66	7.53	5.91	5.66	5.26
ENSMUSG00000000278	81.56	121.13	99.08	149.06	102.97	102.84	133.89	167.11	62.74	142.13	148.83	83.62	124.67
ENSMUSG00000000282	9.95	12.02	10.44	15.28	11.83	9.86	12.55	13.88	8.62	17.15	12.28	7.65	10.88
ENSMUSG00000000290	96.85	174.75	116.65	253.4	134.97	119.74	211.54	268.5	31.56	217.78	249.72	76.39	158.73
ENSMUSG00000000295	17.13	17.44	20.58	17.93	18.94	20.68	17.12	18.02	20.16	17.64	17.62	16.96	19.32
ENSMUSG00000000296	0.44	0.26	0.67	0.21	0.68	0.29	0.42	0.81	1.03	0.57	0.34	0.72	0.16
ENSMUSG00000000301	16.66	16.67	12.31	12.04	13.2	17.28	13.72	10.18	12.75	13.87	13.7	19.3	16.76
ENSMUSG00000000303	0.07	0.26	0.12	0.21	0.28	0.12	0.18	0.2	0.42	0.21	0.2	0.24	0.18
ENSMUSG00000000305	0.07	0.09	0.23	0.3	0.3	0.18	0.26	0.12	0.11	0.26	0.29	0.21	0.14
ENSMUSG00000000308	1.36	1.38	1.63	1.98	2.79	1.97	1.5	1.33	1.34	1.36	1.67	1.72	1.41
ENSMUSG00000000317	10.63	7.1	11.09	8.45	8.16	10.03	13.58	10.17	8.42	17.26	11.4	14.95	10.79
ENSMUSG00000000318	78.11	107.44	96.1	104.48	94.21	71.04	88.31	117.87	75.52	91.02	88.54	84.53	75.16
ENSMUSG00000000320	1.78	1.34	1.87	2.37	1.47	1.19	1.59	0.77	0.68	1.58	1.19	0.95	1.06
ENSMUSG00000000325	4.3	4.94	4.57	5.37	6.02	5.02	6.09	4.98	4.98	6.73	4.69	5.4	4.86
ENSMUSG00000000326	420.54	454.18	391.32	378.37	484.79	622.15	369.57	325.19	316.94	368.32	470.12	539.92	570.06
ENSMUSG00000000339	20.78	23.04	21.2	21.68	23.87	26.59	22.47	22.95	20.15	21.18	27.83	22.31	24.55
ENSMUSG00000000340	43.01	38.15	43.31	37.24	42.16	39.35	37.78	30.97	52.57	33.11	39.92	43.03	35.59
